Nome;Link;Avaliacao;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta
"Smartphone Motorola Moto G54 256GB Azul 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-azul-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/237876300/te/srmt/;4.7 (5725);R$ 1.199,00 em 9x de R$ 133,22 sem juros;1199,0;1079,1;Magazine Luiza;25/11/2024 21:51:31
Smartphone Motorola Moto G54 5G 256GB + 8 GB RAM Azul Câmera 50 MP OIS + 2 MP Frontal 16MP Tela 6,5 IPS Bateria 5000 mAh;https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-8-gb-ram-azul-camera-50-mp-ois-2-mp-frontal-16mp-tela-65-ips-bateria-5000-mah/p/fhace232bh/te/srmt/;4.8 (102);R$ 1.366,20 em 12x de R$ 113,85 sem juros;1366,2;1161,27;Magazine Luiza;25/11/2024 21:51:31
moto g54 5G 256 GB;https://www.magazineluiza.com.br/moto-g54-5g-256-gb-motorola/p/cj079a162d/te/srmt/;5.0 (21);R$ 1.299,00 em 10x de R$ 129,90 sem juros;1299,0;1169,1;Magazine Luiza;25/11/2024 21:51:31
Smartphone Motorola Moto G54 5G 256GB + 8 GB RAM Verde Camera 50 MP OIS + 2 MP Frontal 16MP Tela 6,5 IPS Bateria 5000 mAh;https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-8-gb-ram-verde-camera-50-mp-ois-2-mp-frontal-16mp-tela-65-ips-bateria-5000-mah/p/eekh1d73ha/te/srmt/;4.8 (78);R$ 1.366,20 em 12x de R$ 113,85 sem juros;1366,2;1161,27;Magazine Luiza;25/11/2024 21:51:31
moto g54 5G 256 GB;https://www.magazineluiza.com.br/moto-g54-5g-256-gb-motorola/p/jaa8f82cc1/te/mg54/;5.0 (21);R$ 1.299,00 em 10x de R$ 129,90 sem juros;1299,0;1169,1;Magazine Luiza;25/11/2024 21:51:31
"Smartphone Motorola Moto G54 5G 256GB 8GB RAM Tela 6,5"" Câmera Dupla 50MP+2MP Frontal 16MP Azul";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-8gb-ram-tela-65-camera-dupla-50mp-2mp-frontal-16mp-azul/p/jf4ddj9g0h/te/srmt/;4.8 (116);R$ 1.281,18 em 10x de R$ 128,12 sem juros;1281,18;1281,18;Magazine Luiza;25/11/2024 21:51:31
Motorola Moto G54 5G 256GB Grafite 8GB RAM;https://www.magazineluiza.com.br/motorola-moto-g54-5g-256gb-grafite-8gb-ram/p/dfjfee26b0/te/mg54/;5.0 (1);R$ 1.384,00 em 10x de R$ 138,40 sem juros;1384,0;1384,0;Magazine Luiza;25/11/2024 21:51:31
Motorola G54 5g Dual Sim 256 Gb Green 8 Gb Ram;https://www.magazineluiza.com.br/motorola-g54-5g-dual-sim-256-gb-green-8-gb-ram-motorola10/p/ad36hb1jfd/te/srmt/;5.0 (6);R$ 1.384,00 em 10x de R$ 138,40 sem juros;1384,0;1384,0;Magazine Luiza;25/11/2024 21:51:31
"Smartphone Motorola Moto G54 5G 256GB - Verde - Vegan Leather, RAM 8GB, Câmera 50MP, Selfie 16MP e Tela 6,5""";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-verde-vegan-leather-ram-8gb-camera-50mp-selfie-16mp-e-tela-65/p/bj0442dkfd/te/mg54/;4.9 (9);R$ 1.269,00 em 10x de R$ 126,90 sem juros;1269,0;1142,1;Magazine Luiza;25/11/2024 21:51:31
"Smartphone Motorola Moto G54 5G 256GB 16GB RAM Boost Câmera Traseira Dupla 50MP + 2MP Selfie 16MP Tela 6.5"" Azul-Vegan Leather";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-16gb-ram-boost-camera-traseira-dupla-50mp-2mp-selfie-16mp-tela-6-5-azul-vegan-leather/p/ea76a21f22/te/mg54/;4.5 (6);R$ 1.579,00 em 10x de R$ 157,90 sem juros;1579,0;1579,0;Magazine Luiza;25/11/2024 21:51:31
